PipeID,Age,Diameter,Depth,Slope,Length,PipeType,NetworkTyp,Connection,PipeForm,Material,Rainfall,Geology,GroundWate,SoilType,Building,LandCover,RoadClass,TrafficVol,Population,Score,Class
"165445","4","200",-1.34,3.01,97.76,Wastewater,Main,Others,S,PVC,153.08,Geology_1,25.30,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,194.71,"0",Very good
"165486","4","200",-2.03,0.69,87.00,Wastewater,Main,Others,S,PVC,153.10,Geology_1,24.51,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,194.71,"0",Very good
"165487","4","630",-1.95,-0.56,65.46,Stormwater,Main,Others,S,PPP,153.08,Geology_1,24.83,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,194.71,"0",Very good
"165719","4","200",-1.80,-0.65,38.28,Stormwater,Main,Others,S,PVC,148.40,Geology_4,6.19,Soiltype_7,No,LandUse_10,RoadClass_3,0.00,83.01,"91",Very bad
"166322","46","225",-1.60,-0.22,17.81,Combined,Main,MUF,S,BET,146.46,Geology_3,15.90,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,199.84,"0",Very good
"168687","3","315",-2.01,0.09,44.07,Stormwater,Main,Others,S,PPP,150.03,Geology_1,25.65,Soiltype_7,No,LandUse_10,RoadClass_1,0.00,45.09,"2",Very good
"168729","51","200",-3.37,4.67,38.23,Wastewater,Main,Others,S,BET,136.47,Geology_3,18.35,Soiltype_13,Yes,LandUse_10,RoadClass_3,0.00,79.93,"264",Very bad
"168744","3","315",-1.89,1.18,40.53,Stormwater,Main,Others,S,PPP,150.22,Geology_1,25.80,Soiltype_7,No,LandUse_10,RoadClass_1,0.00,45.09,"0",Very good
"169669","60","225",-1.93,2.32,47.41,Combined,Main,MUF,S,BET,151.13,Geology_3,19.01,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,63.54,"0",Very good
"170138","60","225",-2.16,2.26,41.17,Combined,Main,MUF,S,BET,150.86,Geology_3,18.33,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,63.54,"14",Questionable
"170836","48","225",-1.85,2.40,76.12,Combined,Main,MUF,S,BET,144.85,Geology_3,17.16,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,257.22,"18",Questionable
"171855","60","200",-1.98,0.09,27.79,Stormwater,Main,Others,S,PVC,151.62,Geology_3,21.11,Soiltype_3,No,LandUse_10,RoadClass_1,0.00,63.54,"4",Very good
"172075","51","225",-1.94,0.32,32.42,Combined,Main,MUF,S,BET,144.03,Geology_3,19.10,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,204.96,"112",Very bad
"172077","51","225",-1.99,-0.47,9.55,Combined,Main,MUF,S,BET,144.30,Geology_3,19.08,Soiltype_6,No,LandUse_10,RoadClass_3,0.00,204.96,"100",Very bad
"172082","51","225",-2.01,0.22,44.65,Combined,Main,Others,S,BET,144.70,Geology_3,19.03,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,152.70,"0",Very good
